Wall time,Step,Value
1722678057.0463316,4,0.5629369020462036
1722678096.4399521,9,0.11834307014942169
1722678132.0610974,14,0.035062748938798904
1722678164.2647202,19,0.030504602938890457
1722678200.157347,24,0.01685202307999134
1722678233.98744,29,0.006989817600697279
1722678269.3440075,34,0.013550166971981525
1722678304.7700844,39,0.02673380635678768
1722678342.9658399,44,0.015111868269741535
1722678378.607234,49,0.02522318996489048
1722678417.4662395,54,0.011623162776231766
1722678453.9221947,59,0.0041520800441503525
1722678489.4570026,64,0.008911958895623684
1722678522.4750888,69,0.003633153159171343
1722678562.29469,74,0.009784991852939129
1722678598.914442,79,0.004499364178627729
1722678635.607694,84,0.007705566473305225
1722678674.6727762,89,0.03053392842411995
1722678710.6139765,94,0.016531212255358696
1722678747.0309224,99,0.016466472297906876
1722678785.5229857,104,0.007788439281284809
1722678823.3934326,109,0.005092749837785959
1722678859.3675992,114,0.010652578435838223
1722678897.1761591,119,0.004341526422649622
1722678934.5823705,124,0.013812250457704067
1722678968.1842234,129,0.017852872610092163
1722679006.6036232,134,0.01769987680017948
1722679041.3886502,139,0.007839937694370747
1722679077.3801882,144,0.00537411542609334
1722679115.0214798,149,0.015747036784887314
1722679148.80104,154,0.024797702208161354
1722679183.219336,159,0.03698943927884102
1722679219.6183999,164,0.017296424135565758
1722679255.5357428,169,0.00609654700383544
1722679288.0841758,174,0.01589711382985115
1722679327.0189712,179,0.011933586560189724
1722679363.5177069,184,0.005185080226510763
1722679398.6136587,189,0.08058565855026245
1722679434.318582,194,0.03703862056136131
1722679468.7535799,199,0.014200869016349316
1722679504.0324173,204,0.053035955876111984
1722679536.3565335,209,0.0547533743083477
1722679572.1264114,214,0.004680277779698372
1722679611.3133972,219,0.12633152306079865
1722679650.38896,224,0.09263785183429718
1722679683.2817075,229,0.0052947234362363815
1722679721.961698,234,0.013447679579257965
1722679757.6295047,239,0.007071486208587885
1722679791.612773,244,0.02368713915348053
1722679826.6233783,249,0.01680556870996952
1722679859.761601,254,0.0037935487926006317
1722679897.480986,259,0.005869211163371801
1722679934.6997259,264,0.12912645936012268
1722679969.8717964,269,0.05939817428588867
1722680004.8214142,274,0.02047725021839142
1722680041.5305197,279,0.020667266100645065
1722680078.8513477,284,0.03191342204809189
1722680115.4188447,289,0.037946682423353195
1722680149.389013,294,0.009841040708124638
1722680184.6303666,299,0.004490347113460302
1722680223.062071,304,0.008114499971270561
1722680260.6130574,309,0.01078609749674797
1722680294.6012788,314,0.01910221576690674
1722680328.2976062,319,0.007357981987297535
1722680362.4089062,324,0.0035034145694226027
1722680397.4819162,329,0.01580110564827919
1722680431.72675,334,0.006380443461239338
1722680470.9318802,339,0.06644657999277115
1722680506.369203,344,0.10991275310516357
1722680545.8387418,349,0.00805478636175394
1722680581.938358,354,0.019309865310788155
1722680621.1621864,359,0.01283895131200552
1722680657.9108336,364,0.026129579171538353
1722680697.8516586,369,0.2407539337873459
1722680733.7818494,374,0.046502117067575455
1722680770.5494373,379,0.006012140307575464
1722680808.1056874,384,0.02101348154246807
1722680844.5756338,389,0.0508946068584919
1722680882.2063403,394,0.025335414335131645
1722680920.216681,399,0.07369893044233322
1722680957.2906609,404,0.01189411710947752
1722680992.3007727,409,0.008951904252171516
1722681023.289183,414,0.0274371150881052
1722681058.7005775,419,0.009203211404383183
1722681096.5366063,424,0.2660955786705017
1722681131.2676477,429,0.024523038417100906
1722681163.5808728,434,0.05155637487769127
1722681198.6724014,439,0.027727801352739334
1722681235.0370085,444,0.04027068242430687
1722681272.4028375,449,0.004422478843480349
1722681309.8959363,454,0.02505851350724697
1722681346.996292,459,0.0388079397380352
1722681383.4679666,464,0.002407887252047658
1722681421.0078602,469,0.014901526272296906
1722681463.77221,474,0.026029318571090698
1722681501.6846523,479,0.00511967996135354
1722681536.1353812,484,0.006666833069175482
1722681572.2663403,489,0.009378748945891857
1722681605.602666,494,0.01774863712489605
1722681642.0554965,499,0.02910722605884075
1722687076.067326,504,0.017814505845308304
1722687110.4801779,509,0.011448807083070278
1722687144.9257824,514,0.0023397633340209723
1722687179.1480446,519,0.021112222224473953
1722687217.0653386,524,0.16555456817150116
1722687249.7965212,529,0.013965568505227566
1722687284.5459566,534,0.004614494275301695
1722687317.5969927,539,0.01305543351918459
1722687354.9959729,544,0.13565312325954437
1722687391.6085494,549,0.006044238340109587
1722687428.8193424,554,0.008780409581959248
1722687466.7018504,559,0.1157577633857727
1722687502.1384199,564,0.0759861096739769
1722687540.7115357,569,0.013042017817497253
1722687578.5415354,574,0.005422194488346577
1722687613.996934,579,0.01649070903658867
1722687651.4772139,584,0.014512046240270138
1722687685.5608282,589,0.02266373112797737
1722687717.9588704,594,0.007506245281547308
1722687751.4438372,599,0.019389508292078972
1722687787.2237122,604,0.007423331495374441
1722687824.8659108,609,0.012149865739047527
1722687858.3629994,614,0.015699734911322594
1722687894.821519,619,0.01882523111999035
1722687932.696525,624,0.2600007951259613
1722687967.6405377,629,0.004521561786532402
1722688004.0404656,634,0.02731315605342388
1722688035.4019036,639,0.0027589499950408936
1722688071.0907855,644,0.011035147123038769
1722688105.201779,649,0.03033071756362915
1722688139.4054255,654,0.03460348770022392
1722688176.1635861,659,0.020769542083144188
1722688208.68901,664,0.009056331589818
1722688241.4294207,669,0.02556193806231022
